,Data,Valor,ano,mes,nome_mes
0,2019-01-06,67.9,2019,1,Janeiro
1,2019-01-13,68.03,2019,1,Janeiro
2,2019-01-20,68.07,2019,1,Janeiro
3,2019-02-03,67.92,2019,2,Fevereiro
4,2019-02-10,68.55,2019,2,Fevereiro
5,2019-02-17,69.46,2019,2,Fevereiro
6,2019-03-03,67.93,2019,3,Março
7,2019-03-24,65.19,2019,3,Março
8,2019-04-07,68.2,2019,4,Abril
9,2019-04-28,61.08,2019,4,Abril
10,2019-05-05,61.37,2019,5,Maio
11,2019-05-19,64.51,2019,5,Maio
12,2019-05-26,64.1,2019,5,Maio
13,2019-06-02,62.68,2019,6,Junho
14,2019-06-09,61.66,2019,6,Junho
15,2019-06-16,61.61,2019,6,Junho
16,2019-06-23,62.03,2019,6,Junho
17,2019-06-30,62.22,2019,6,Junho
18,2019-07-07,62.12,2019,7,Julho
19,2019-07-14,61.96,2019,7,Julho
20,2019-07-21,61.63,2019,7,Julho
21,2019-08-11,57.85,2019,8,Agosto
22,2019-08-18,57.66,2019,8,Agosto
23,2019-08-25,58.52,2019,8,Agosto
24,2019-09-01,59.36,2019,9,Setembro
25,2019-09-08,59.14,2019,9,Setembro
26,2019-09-15,57.99,2019,9,Setembro
27,2019-09-22,56.96,2019,9,Setembro
28,2019-09-29,56.96,2019,9,Setembro
29,2019-10-06,57.82,2019,10,Outubro
30,2019-10-13,58.61,2019,10,Outubro
31,2019-10-20,58.56,2019,10,Outubro
32,2019-11-03,55.84,2019,11,Novembro
33,2019-11-17,51.58,2019,11,Novembro
34,2019-12-01,49.08,2019,12,Dezembro
35,2019-12-08,49.31,2019,12,Dezembro
36,2019-12-22,50.43,2019,12,Dezembro
37,2019-12-29,50.5,2019,12,Dezembro
38,2020-01-12,50.6,2020,1,Janeiro
39,2020-01-19,50.67,2020,1,Janeiro
40,2020-01-26,50.53,2020,1,Janeiro
41,2020-02-02,50.47,2020,2,Fevereiro
42,2020-02-09,50.99,2020,2,Fevereiro
43,2020-02-16,51.92,2020,2,Fevereiro
44,2020-02-23,52.2,2020,2,Fevereiro
45,2020-03-01,50.91,2020,3,Março
46,2020-03-08,48.53,2020,3,Março
47,2020-03-15,46.91,2020,3,Março
48,2020-03-29,49.54,2020,3,Março
49,2020-04-12,49.55,2020,4,Abril
50,2020-05-03,43.74,2020,5,Maio
51,2020-05-10,45.46,2020,5,Maio
52,2020-05-17,46.99,2020,5,Maio
53,2020-05-24,46.88,2020,5,Maio
54,2020-05-31,45.8,2020,5,Maio
55,2020-06-07,44.9,2020,6,Junho
56,2020-06-21,45.63,2020,6,Junho
57,2020-06-28,46.16,2020,6,Junho
58,2020-07-05,46.36,2020,7,Julho
59,2020-07-12,46.48,2020,7,Julho
60,2020-07-19,46.48,2020,7,Julho
61,2020-07-26,46.29,2020,7,Julho
62,2020-08-02,45.45,2020,8,Agosto
63,2020-08-16,44.82,2020,8,Agosto
64,2020-09-06,48.34,2020,9,Setembro
65,2020-09-20,47.39,2020,9,Setembro
66,2020-09-27,47.8,2020,9,Setembro
67,2020-10-04,49.46,2020,10,Outubro
68,2020-10-11,51.24,2020,10,Outubro
69,2020-10-25,52.31,2020,10,Outubro
70,2020-11-08,50.47,2020,11,Novembro
71,2020-11-15,49.19,2020,11,Novembro
72,2020-11-22,48.24,2020,11,Novembro
73,2020-11-29,48.18,2020,11,Novembro
74,2020-12-06,49.19,2020,12,Dezembro
75,2020-12-13,50.77,2020,12,Dezembro
76,2020-12-20,52.23,2020,12,Dezembro
77,2020-12-27,53.28,2020,12,Dezembro
78,2021-01-03,54.19,2021,1,Janeiro
79,2021-01-10,55.22,2021,1,Janeiro
80,2021-01-17,56.26,2021,1,Janeiro
81,2021-01-24,57.08,2021,1,Janeiro
82,2021-01-31,57.9,2021,1,Janeiro
83,2021-02-07,59.23,2021,2,Fevereiro
84,2021-02-14,61.08,2021,2,Fevereiro
85,2021-02-21,62.51,2021,2,Fevereiro
86,2021-03-14,60.13,2021,3,Março
87,2021-03-21,61.21,2021,3,Março
88,2021-03-28,64.09,2021,3,Março
89,2021-04-04,66.62,2021,4,Abril
90,2021-04-18,64.76,2021,4,Abril
91,2021-05-02,63.19,2021,5,Maio
92,2021-05-09,65.65,2021,5,Maio
93,2021-05-16,68.3,2021,5,Maio
94,2021-05-23,69.44,2021,5,Maio
95,2021-05-30,69.15,2021,5,Maio
96,2021-06-06,68.79,2021,6,Junho
97,2021-06-13,69.35,2021,6,Junho
98,2021-06-20,70.63,2021,6,Junho
99,2021-06-27,71.88,2021,6,Junho
100,2021-07-04,72.79,2021,7,Julho
101,2021-07-11,73.57,2021,7,Julho
102,2021-07-18,74.29,2021,7,Julho
103,2021-08-01,74.11,2021,8,Agosto
104,2021-08-08,73.53,2021,8,Agosto
105,2021-08-15,73.8,2021,8,Agosto
106,2021-08-22,75.31,2021,8,Agosto
107,2021-08-29,77.24,2021,8,Agosto
108,2021-09-05,78.4,2021,9,Setembro
109,2021-09-12,78.42,2021,9,Setembro
110,2021-09-19,78.14,2021,9,Setembro
111,2021-09-26,78.67,2021,9,Setembro
112,2021-10-10,82.11,2021,10,Outubro
113,2021-10-24,83.58,2021,10,Outubro
114,2021-10-31,83.02,2021,10,Outubro
115,2021-11-07,81.97,2021,11,Novembro
116,2021-11-14,80.72,2021,11,Novembro
117,2021-11-21,79.71,2021,11,Novembro
118,2021-11-28,79.49,2021,11,Novembro
119,2021-12-05,80.33,2021,12,Dezembro
120,2021-12-12,81.86,2021,12,Dezembro
121,2021-12-19,83.38,2021,12,Dezembro
122,2021-12-26,84.5,2021,12,Dezembro
123,2022-01-02,85.4,2022,1,Janeiro
124,2022-01-16,87.47,2022,1,Janeiro
125,2022-01-23,88.34,2022,1,Janeiro
126,2022-01-30,89.12,2022,1,Janeiro
127,2022-02-13,92.01,2022,2,Fevereiro
128,2022-02-20,93.55,2022,2,Fevereiro
129,2022-02-27,93.73,2022,2,Fevereiro
