"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"31.12.2023","78,54","77,31","79,22","74,82","801,74K","2,12%"
"24.12.2023","76,91","78,74","81,45","76,60","832,88K","-2,40%"
"17.12.2023","78,80","77,06","80,60","76,00","1,39M","2,66%"
"10.12.2023","76,76","75,87","77,53","72,67","1,16M","1,00%"
"03.12.2023","76,00","79,37","79,60","73,85","1,19M","-3,52%"
"26.11.2023","78,77","80,16","84,61","78,65","1,89M","-2,12%"
"19.11.2023","80,48","80,17","82,85","78,48","1,21M","-0,02%"
"12.11.2023","80,50","81,13","83,62","76,71","1,26M","-0,78%"
"05.11.2023","81,13","84,70","85,92","79,11","1,14M","-3,87%"
"29.10.2023","84,40","88,94","88,94","83,99","1,37M","-5,38%"
"22.10.2023","89,20","90,98","91,15","85,77","1,76M","-1,86%"
"15.10.2023","90,89","89,44","92,32","87,52","1,18M","1,73%"
"08.10.2023","89,34","84,60","89,47","84,09","1,27M","7,47%"
"01.10.2023","83,13","90,48","91,48","82,20","1,32M","-9,84%"
"24.09.2023","92,20","92,39","95,35","90,41","2,47M","0,26%"
"17.09.2023","91,96","93,39","94,57","91,12","2,09M","-1,16%"
"10.09.2023","93,04","90,03","93,83","89,52","1,49M","3,34%"
"03.09.2023","90,03","88,09","90,37","87,39","1,15M","2,54%"
"27.08.2023","87,80","84,24","88,19","83,28","1,66M","4,59%"
"20.08.2023","83,95","84,36","85,44","81,61","1,48M","-0,49%"
"13.08.2023","84,36","85,90","86,03","82,61","1,07M","-2,07%"
"06.08.2023","86,14","85,79","87,37","82,93","1,08M","0,42%"
"30.07.2023","85,78","84,42","86,16","82,00","1,07M","1,62%"
"23.07.2023","84,41","80,69","84,50","80,25","1,68M","4,36%"
"16.07.2023","80,88","79,20","81,06","78,10","1,25M","1,61%"
"09.07.2023","79,60","78,22","81,37","77,06","1,06M","1,95%"
"02.07.2023","78,08","75,00","78,15","74,40","747,07K","3,54%"
"25.06.2023","75,41","74,60","75,84","71,86","1,88M","1,89%"
"18.06.2023","74,01","76,34","77,25","72,30","1,27M","-3,36%"
"11.06.2023","76,58","74,80","76,70","71,57","1,22M","2,46%"
"04.06.2023","74,74","77,88","78,47","73,53","1,23M","-1,62%"
"28.05.2023","75,97","77,42","77,83","71,50","1,40M","-1,31%"
"21.05.2023","76,98","75,66","78,50","74,43","1,35M","2,00%"
"14.05.2023","75,47","73,90","77,39","73,25","921,79K","2,12%"
"07.05.2023","73,90","75,09","77,40","73,77","852,13K","-1,58%"
"30.04.2023","75,09","79,69","79,82","71,20","879,11K","-6,52%"
"23.04.2023","80,33","81,67","82,88","77,36","1,95M","-1,39%"
"16.04.2023","81,46","85,90","86,07","80,21","1,21M","-5,14%"
"09.04.2023","85,87","84,45","86,90","83,37","853,36K","1,42%"
"02.04.2023","84,67","85,00","86,04","83,15","743,93K","5,98%"
"26.03.2023","79,89","74,62","79,95","74,39","1,68M","7,11%"
"19.03.2023","74,59","72,97","77,06","70,06","1,47M","2,50%"
